name,group,'m1', 'm2', 'm3', 'm4', 'm5', 'm6', 'm7', 'fx', 'fy', 'fz', 'tx', 'alpha'
index,group,0.17134436119131932,0.059505123261995044,0.301926553559997,0.24898288164060564,0.8334141336751184,0.5673893993501444,0.6212697353835801,2.1494896097711185,2.1494896097711185,2.1494896097711185,0,0.30000000000000004
index,group,0.24906081210602532,0.09702990096623444,0.5694369961445063,0.432124359292253,0.8175932529177303,0.02626357996923384,0.9143676133017958,2.1494896097711185,2.1494896097711185,2.1494896097711185,0,0.30000000000000004
index,group,0.21668391093193806,0.0805085506226865,0.41015162466790567,0.34029516174122754,0.34934210089723333,0.3554411396702557,0.9067144099221225,2.1494896097711185,2.1494896097711185,2.1494896097711185,0,0.30000000000000004
index,group,0.12019041828677021,0.033622047631884214,0.08560734722680663,0.12283047769368138,0.13355598662775708,0.9712630510522458,0.600737394988297,2.1494896097711185,2.1494896097711185,2.1494896097711185,0,0.30000000000000004
index,group,0.16652799160391507,0.05609173993309672,0.27623683980870306,0.25037122096361125,0.0897477919907852,0.5374151096845062,0.7850937487515107,2.1494896097711185,2.1494896097711185,2.1494896097711185,0,0.30000000000000004
index,group,0.24969747406761159,0.09667392220028043,0.4792346954929521,0.38564513738603967,0.6498877862263388,0.31758664510997403,0.954290577455061,2.1494896097711185,2.1494896097711185,2.1494896097711185,0,0.30000000000000004
index,group,0.23394603254114027,0.08132266523179509,0.4624420066613313,0.3826129275101133,0.5,0.5,1,2.8659861463614913,2.8659861463614913,2.8659861463614913,0,0.4
index,group,0.12032758811174651,0.027871169641264133,0.33433430847240636,0.259632642244321,0.6583183723997507,0.40578657511569644,0.5483927763455462,2.8659861463614913,2.8659861463614913,2.8659861463614913,0,0.4
index,group,0.15849315732254238,0.04483212881129292,0.30831881289561763,0.2735986126796936,0.1251316959662538,0.6133043892522991,0.8150028969162113,2.8659861463614913,2.8659861463614913,2.8659861463614913,0,0.4
index,group,0.21924129761239955,0.07382072751466649,0.3279597854592212,0.3009870708721607,0.4935202704868449,0.8890012175938855,0.9436757365344512,2.8659861463614913,2.8659861463614913,2.8659861463614913,0,0.4
index,group,0.20673235909858323,0.06879150791054153,0.4511370014784664,0.3609598023526495,0.6672874741491399,0.42739307353012723,0.8608913251292398,2.8659861463614913,2.8659861463614913,2.8659861463614913,0,0.4
index,group,0.22906266830200872,0.07871026497001807,0.35043989123709574,0.31434224356318774,0.6338402787207558,0.877601890934255,0.9454370389044986,2.8659861463614913,2.8659861463614913,2.8659861463614913,0,0.4
index,group,0.19834967800884176,0.06511274308898604,0.4856334446844789,0.3755747317729548,0.7225699007160553,0.2751666860646071,0.8185656961785963,2.8659861463614913,2.8659861463614913,2.8659861463614913,0,0.4
index,group,0.1679814295092407,0.05027460818117065,0.3502432115864409,0.28719167674866775,0.7058984670682726,0.5896100049539384,0.7084589918973923,2.8659861463614913,2.8659861463614913,2.8659861463614913,0,0.4
